XXXinorg1,XXXinorg1mass,XXXinorg2,XXXinorg2mass,XXXinorg3,XXXinorg3mass,XXXorg1,XXXorg1mass,XXXorg2,XXXorg2mass,XXXoxlike1,XXXoxlike1mass,temp,time,slowCool,pH
ammonium metavanadate,0.1157,Selenium dioxide,0.6689,-1,-1.0,piperazine,0.0899,-1,-1.0,-1,-1.0,75,48.0,0,1
ammonium metavanadate,0.1783,Selenium dioxide,0.6639,-1,-1.0,piperazine,0.0933,-1,-1.0,-1,-1.0,75,48.0,0,1
ammonium metavanadate,0.2358,Selenium dioxide,0.6693,-1,-1.0,piperazine,0.0916,-1,-1.0,-1,-1.0,75,48.0,0,1
ammonium metavanadate,0.3161,Selenium dioxide,0.6635,-1,-1.0,piperazine,0.0963,-1,-1.0,-1,-1.0,75,48.0,0,1
ammonium metavanadate,0.128,Selenium dioxide,1.1272,-1,-1.0,piperazine,0.0978,-1,-1.0,-1,-1.0,90,24.0,0,1
ammonium metavanadate,0.1357,Selenium dioxide,1.4194,-1,-1.0,piperazine,0.1076,-1,-1.0,-1,-1.0,90,24.0,0,1
Oxovanadium(2+) sulfate,0.1647,Selenium dioxide,0.3423,-1,-1.0,homopiperazine,0.1186,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.169,Selenium dioxide,0.6613,-1,-1.0,homopiperazine,0.1147,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.3354,Selenium dioxide,0.5572,-1,-1.0,homopiperazine,0.2036,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.1603,Selenium dioxide,1.3308,-1,-1.0,homopiperazine,1.3308,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.1683,Selenium dioxide,1.814,-1,-1.0,homopiperazine,1.814,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.3525,Selenium dioxide,0.5637,-1,-1.0,homopiperazine,0.3963,-1,-1.0,-1,-1.0,110,18.0,1,7
Oxovanadium(2+) sulfate,0.332,Selenium dioxide,0.578,-1,-1.0,homopiperazine,0.413,-1,-1.0,-1,-1.0,110,72.0,1,4
vanadium(V) oxide,0.1683,-1,-1.0,-1,-1.0,H3PO3,0.4624,3-aminoquinuclidine dihydrochloride,0.316,-1,-1.0,170,120.0,1,2
sodium metavanadate,0.1684,tellurium dioxide,0.1336,-1,-1.0,1-(2-aminoethyl)piperazine,0.1178,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium metavanadate,0.1013,tellurium dioxide,0.2387,-1,-1.0,1-(2-aminoethyl)piperazine,0.1096,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium metavanadate,0.243,tellurium dioxide,0.0455,-1,-1.0,1-(2-aminoethyl)piperazine,0.1076,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium metavanadate,0.1008,tellurium dioxide,0.2347,-1,-1.0,1-(2-aminoethyl)piperazine,0.1179,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium metavanadate,0.245,tellurium dioxide,0.0404,-1,-1.0,1-(2-aminoethyl)piperazine,0.1162,-1,-1.0,-1,-1.0,110,24.0,1,3
sodium metavanadate,0.2437,tellurium dioxide,0.0442,-1,-1.0,1-(2-aminoethyl)piperazine,0.1236,-1,-1.0,-1,-1.0,110,24.0,1,1
sodium metavanadate,0.1027,tellurium dioxide,0.233,-1,-1.0,1-(2-aminoethyl)piperazine,0.1191,-1,-1.0,-1,-1.0,110,24.0,1,1
sodium metavanadate,0.0703,-1,-1.0,-1,-1.0,"2,5-dimethylpiperazine",0.1218,-1,-1.0,-1,-1.0,140,20.0,1,1
sodium metavanadate,0.1213,-1,-1.0,-1,-1.0,"2,5-dimethylpiperazine",0.1194,-1,-1.0,-1,-1.0,150,20.0,1,2
sodium metavanadate,0.12,-1,-1.0,-1,-1.0,"2,5-dimethylpiperazine",0.1232,-1,-1.0,-1,-1.0,150,20.0,1,2
sodium metavanadate,0.1263,-1,-1.0,-1,-1.0,H3PO3,0.5134,"1,4-diaminobutane",0.3974,-1,-1.0,170,120.0,1,2
vanadium(V) oxide,0.0509,ammonium fluoride,0.0358,-1,-1.0,H3PO3,1.0654,"1,6-diaminohexane",0.1233,-1,-1.0,140,72.0,1,1
sodium metavanadate,0.1241,Selenium dioxide,0.9004,-1,-1.0,tetraethylenepentamine,0.1817,-1,-1.0,sodium oxalate,0.1343,90,48.0,0,1
sodium metavanadate,0.1247,Selenium dioxide,0.8936,-1,-1.0,tetraethylenepentamine,0.211,-1,-1.0,sodium oxalate,0.1412,90,48.0,0,2
sodium metavanadate,0.1211,Selenium dioxide,0.894,-1,-1.0,tetraethylenepentamine,0.1836,-1,-1.0,sodium oxalate,0.144,90,48.0,0,4
Zn(NO3)2,0.1904,-1,-1.0,-1,-1.0,"1,2-diaminopropane",0.3295,-1,-1.0,-1,-1.0,80,50.0,1,3
vanadium(V) oxide,0.0431,ammonium fluoride,0.0393,-1,-1.0,H3PO3,0.9892,ethylenediamine,0.0603,-1,-1.0,160,48.0,1,2
vanadium(V) oxide,0.0457,ammonium fluoride,0.0494,-1,-1.0,H3PO3,1.2571,ethylenediamine,0.0624,-1,-1.0,140,72.0,1,1
ammonium metavanadate,0.1053,Potassium Dichromate,0.502,-1,-1.0,2-methylpiperazine,0.1114,-1,-1.0,sodium oxalate,0.0995,180,89.0,1,2
ammonium metavanadate,0.1235,Potassium Dichromate,0.5874,-1,-1.0,2-methylpiperazine,0.1075,-1,-1.0,sodium oxalate,0.1174,130,72.0,1,2
ammonium metavanadate,0.1147,Potassium Dichromate,0.9716,-1,-1.0,2-methylpiperazine,0.1099,-1,-1.0,sodium oxalate,0.1257,130,24.0,1,2
sodium vanadium trioxide,0.5453,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.4828,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium vanadium trioxide,0.5525,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.8351,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium vanadium trioxide,0.9388,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.5034,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium vanadium trioxide,0.5593,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.4817,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium vanadium trioxide,0.5602,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.7626,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium vanadium trioxide,1.0469,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.4264,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium vanadium trioxide,0.531,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",1.052,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium vanadium trioxide,1.899,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.129,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium vanadium trioxide,0.761,-1,-1.0,-1,-1.0,"1,4-dimethylpiperazine",0.159,-1,-1.0,-1,-1.0,110,24.0,1,5
tellurium dioxide,0.4774,sodium metavanadate,0.1596,-1,-1.0,"1,3-diaminopropane",0.4482,-1,-1.0,-1,-1.0,90,192.0,0,11
tellurium dioxide,0.4801,sodium metavanadate,0.1583,-1,-1.0,"1,3-diaminopropane",0.4451,-1,-1.0,-1,-1.0,90,192.0,0,11
tellurium dioxide,0.4791,sodium metavanadate,0.1579,-1,-1.0,"1,3-diaminopropane",0.4471,-1,-1.0,-1,-1.0,90,72.0,0,10
tellurium dioxide,0.4757,sodium metavanadate,0.1577,-1,-1.0,"1,3-diaminopropane",0.4435,-1,-1.0,-1,-1.0,90,72.0,0,10
tellurium dioxide,0.4798,sodium metavanadate,0.1579,-1,-1.0,"1,3-diaminopropane",0.4496,-1,-1.0,-1,-1.0,90,72.0,0,10
sodium metavanadate,0.3086,tellurium dioxide,0.0395,-1,-1.0,"1,3-diaminopropane",0.0264,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium metavanadate,0.0319,tellurium dioxide,0.4056,-1,-1.0,"1,3-diaminopropane",0.0196,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium metavanadate,0.3148,tellurium dioxide,0.0386,-1,-1.0,"1,3-diaminopropane",0.0162,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium metavanadate,0.0359,tellurium dioxide,0.4005,-1,-1.0,"1,3-diaminopropane",0.0274,-1,-1.0,-1,-1.0,110,24.0,1,3
sodium metavanadate,0.3097,tellurium dioxide,0.0391,-1,-1.0,"1,3-diaminopropane",0.0174,-1,-1.0,-1,-1.0,110,24.0,1,3
sodium metavanadate,0.0321,tellurium dioxide,0.4038,-1,-1.0,"1,3-diaminopropane",0.0256,-1,-1.0,-1,-1.0,110,24.0,1,1
sodium metavanadate,0.3085,tellurium dioxide,0.0457,-1,-1.0,"1,3-diaminopropane",0.0205,-1,-1.0,-1,-1.0,110,24.0,1,1
sodium metavanadate,0.0292,tellurium dioxide,0.4078,-1,-1.0,"1,3-diaminopropane",0.0231,-1,-1.0,-1,-1.0,110,24.0,1,7
vanadium(V) oxide,0.1016,-1,-1.0,-1,-1.0,H3PO3,0.4158,ethylenediamine,0.2817,-1,-1.0,170,96.0,1,6
vanadium(V) oxide,0.1768,-1,-1.0,-1,-1.0,H3PO3,0.4372,ethylenediamine,0.294,-1,-1.0,170,120.0,1,6
vanadium(V) oxide,0.1884,-1,-1.0,-1,-1.0,H3PO3,0.4773,ethylenediamine,0.1426,-1,-1.0,170,120.0,1,2
vanadium(V) oxide,0.1736,-1,-1.0,-1,-1.0,H3PO3,0.402,ethylenediamine,0.2767,-1,-1.0,170,120.0,1,2
vanadium(V) oxide,0.1813,sodium tellurite,0.1145,-1,-1.0,"1,3-diaminopropane",0.039,ethanol,3.9522,-1,-1.0,90,72.0,0,9
vanadium(V) oxide,0.181,sodium tellurite,0.1121,-1,-1.0,"1,3-diaminopropane",0.0851,ethanol,3.9429,-1,-1.0,90,72.0,0,10
vanadium(V) oxide,0.1812,sodium tellurite,0.1144,-1,-1.0,"1,3-diaminopropane",0.0751,ethanol,3.9653,-1,-1.0,90,72.0,0,10
vanadium(V) oxide,0.1833,sodium tellurite,0.1158,-1,-1.0,"1,3-diaminopropane",0.0366,ethanol,3.9546,-1,-1.0,90,72.0,0,9
vanadium(V) oxide,0.1804,sodium tellurite,0.1129,-1,-1.0,"1,3-diaminopropane",0.0791,ethanol,4.0371,-1,-1.0,110,120.0,0,10
vanadium(V) oxide,0.1808,sodium tellurite,0.1142,-1,-1.0,"1,3-diaminopropane",0.0793,ethanol,3.994,-1,-1.0,110,120.0,0,5
vanadium(V) oxide,0.1798,sodium tellurite,0.1195,-1,-1.0,"1,3-diaminopropane",0.1054,ethanol,3.9838,-1,-1.0,110,120.0,0,9
vanadium(V) oxide,0.1809,sodium tellurite,0.1112,-1,-1.0,"1,3-diaminopropane",0.0479,ethanol,4.0808,-1,-1.0,110,120.0,0,10
vanadium(V) oxide,0.1811,sodium tellurite,0.1133,-1,-1.0,"1,3-diaminopropane",0.0362,ethanol,3.9562,-1,-1.0,110,120.0,0,5
vanadium(V) oxide,0.1812,sodium tellurite,0.1158,-1,-1.0,"1,3-diaminopropane",0.0823,ethanol,3.945,-1,-1.0,110,120.0,0,9
vanadium(V) oxide,0.1815,sodium tellurite,0.1264,-1,-1.0,"1,3-diaminopropane",0.0848,ethanol,3.9454,-1,-1.0,110,120.0,0,10
vanadium(V) oxide,0.1813,sodium tellurite,0.1165,-1,-1.0,"1,3-diaminopropane",0.0853,ethanol,3.9408,-1,-1.0,110,120.0,0,9
vanadium(V) oxide,0.1812,sodium tellurite,0.1123,-1,-1.0,"1,3-diaminopropane",0.0857,ethanol,3.9506,-1,-1.0,110,120.0,0,10
vanadium(V) oxide,0.1806,sodium tellurite,0.1114,-1,-1.0,"1,3-diaminopropane",0.0998,ethanol,3.9369,-1,-1.0,110,83.3,1,10
vanadium(V) oxide,0.1833,sodium tellurite,0.1201,-1,-1.0,"1,3-diaminopropane",0.0946,ethanol,3.9412,-1,-1.0,110,83.3,1,10
vanadium(V) oxide,0.1947,sodium tellurite,0.1118,-1,-1.0,"1,3-diaminopropane",0.0869,ethanol,3.9628,-1,-1.0,110,83.3,1,9
vanadium(V) oxide,0.1812,sodium tellurite,0.1586,-1,-1.0,"1,3-diaminopropane",0.0854,ethanol,2.45,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1816,sodium tellurite,0.1803,-1,-1.0,"1,3-diaminopropane",0.0896,ethanol,2.45,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1824,sodium tellurite,0.1909,-1,-1.0,"1,3-diaminopropane",0.0867,ethanol,2.45,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1834,sodium tellurite,0.2293,-1,-1.0,"1,3-diaminopropane",0.084,ethanol,2.45,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1481,sodium tellurite,0.1109,-1,-1.0,"1,3-diaminopropane",0.0867,ethanol,0.97,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1808,sodium tellurite,0.1884,-1,-1.0,"1,3-diaminopropane",0.0946,ethanol,1.5,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1818,sodium tellurite,0.1696,-1,-1.0,"1,3-diaminopropane",0.088,ethanol,0.97,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.181,sodium tellurite,0.1891,-1,-1.0,"1,3-diaminopropane",0.0852,ethanol,0.97,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1811,sodium tellurite,0.1655,-1,-1.0,"1,3-diaminopropane",0.0932,ethanol,3.95,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.181,sodium tellurite,0.1879,-1,-1.0,"1,3-diaminopropane",0.0889,ethanol,3.95,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1875,sodium tellurite,0.1371,-1,-1.0,"1,3-diaminopropane",0.1014,ethanol,0.97,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1847,sodium tellurite,0.0856,-1,-1.0,"1,3-diaminopropane",0.0861,ethanol,0.97,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1837,sodium tellurite,0.1801,-1,-1.0,"1,3-diaminopropane",0.1038,ethanol,0.97,-1,-1.0,25,65.0,0,10
vanadium(V) oxide,0.145,sodium tellurite,0.117,-1,-1.0,"1,3-diaminopropane",0.0846,ethanol,1.5,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1859,sodium tellurite,0.141,-1,-1.0,"1,3-diaminopropane",0.093,ethanol,1.5,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1841,sodium tellurite,0.087,-1,-1.0,"1,3-diaminopropane",0.0856,ethanol,1.5,-1,-1.0,25,65.0,0,10
vanadium(V) oxide,0.1828,sodium tellurite,0.1808,-1,-1.0,"1,3-diaminopropane",0.087,ethanol,1.5,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1812,sodium tellurite,0.1662,-1,-1.0,"1,3-diaminopropane",0.0914,ethanol,1.5,-1,-1.0,110,120.0,1,10
vanadium(V) oxide,0.1456,sodium tellurite,0.0885,-1,-1.0,"1,3-diaminopropane",0.0586,ethanol,3.0,-1,-1.0,100,113.0,0,8
sodium metavanadate,0.2466,tellurium dioxide,0.0807,-1,-1.0,2-aminooctane,0.1323,ethanol,4.031,-1,-1.0,110,144.0,0,10
sodium metavanadate,0.2436,tellurium dioxide,0.0897,-1,-1.0,2-aminooctane,0.1267,ethanol,1.9788,-1,-1.0,110,144.0,0,11
potassium vanadium trioxide,0.1373,Selenium dioxide,0.6808,-1,-1.0,R-3-aminoquinuclidine dihydrochloride,0.1266,-1,-1.0,-1,-1.0,150,24.0,1,1
potassium vanadium trioxide,0.1329,Selenium dioxide,0.6627,-1,-1.0,R-3-aminoquinuclidine dihydrochloride,0.1928,-1,-1.0,-1,-1.0,150,24.0,1,4
potassium vanadium trioxide,0.1418,Selenium dioxide,0.6627,-1,-1.0,R-3-aminoquinuclidine dihydrochloride,0.1947,-1,-1.0,-1,-1.0,150,24.0,1,7
molybdenum trioxide,0.1151,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2383,-1,-1.0,-1,-1.0,100,20.0,0,5
molybdenum trioxide,0.1141,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2313,-1,-1.0,-1,-1.0,100,20.0,0,5
molybdenum trioxide,0.1154,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2249,-1,-1.0,-1,-1.0,100,20.0,0,5
molybdenum trioxide,0.1127,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2289,-1,-1.0,-1,-1.0,100,20.0,0,5
molybdenum trioxide,0.2257,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1638,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.3181,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1168,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.3146,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1686,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.1012,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2005,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.383,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0512,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.3486,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1952,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.0835,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2474,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.0839,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2566,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1074,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.235,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.0858,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.257,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.0836,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2491,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1353,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2252,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1071,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2578,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.1004,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1256,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.2589,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2667,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.2477,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0531,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.5052,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1282,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.5099,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0513,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.2803,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1565,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.13,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0601,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.5998,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.6638,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.1271,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.3047,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.2142,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1056,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.221,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2216,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.4361,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1085,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.2447,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1669,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.3173,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1269,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.3133,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1613,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.1115,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1913,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.3833,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0507,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.3748,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1898,-1,-1.0,-1,-1.0,180,72.0,0,5
molybdenum trioxide,0.2799,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.148,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.1271,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0612,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.6187,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0701,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.1221,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.321,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.2193,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1158,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.2237,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2301,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.443,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.115,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.221,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1774,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.3171,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1113,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.3141,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1686,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.1094,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2022,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.3803,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0499,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.3781,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1914,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.1339,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0619,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.6009,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0751,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1261,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.3168,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2092,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1074,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2177,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.221,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.4362,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1126,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2325,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1621,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.3193,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1165,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.3206,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1726,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1153,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1969,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.3755,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0555,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.3795,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2034,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2821,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1472,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1005,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.239,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.4667,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.048,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2831,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1433,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.0991,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2455,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.4656,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0862,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.284,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.146,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.0988,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2437,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.4678,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0609,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2889,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1423,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.0999,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2433,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.4666,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0561,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2862,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1482,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1031,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2373,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.4663,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.0492,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.2849,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.1505,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.1018,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.2443,-1,-1.0,-1,-1.0,180,48.0,0,5
molybdenum trioxide,0.4707,-1,-1.0,-1,-1.0,"1,3-diaminopropane",0.598,-1,-1.0,-1,-1.0,180,48.0,0,5
